,scenario,f,year,type,land,xi
231,SSP2,0.6,2055,projections,4194451957.5623875,0.5002441416800233
232,SSP2,0.8,2055,projections,4500246623.254477,0.5238486046623251
233,SSP2,0.2,2056,projections,3665650961.3911195,0.4407327369556113
234,SSP2,0.4,2056,projections,3929152032.7572026,0.4756263286611933
235,SSP2,0.6,2056,projections,4197664403.337615,0.5003791562507497
236,SSP2,0.8,2056,projections,4509723543.454895,0.5239637176084792
237,SSP2,0.2,2057,projections,3652878008.4296737,0.43907757435859285
238,SSP2,0.4,2057,projections,3922558800.8711658,0.4754227332268219
239,SSP2,0.6,2057,projections,4200641908.4484277,0.5004212780678617
240,SSP2,0.8,2057,projections,4517879112.899624,0.5240228957222443
241,SSP2,0.2,2058,projections,3640968618.9829645,0.43731334545244693
242,SSP2,0.4,2058,projections,3916480570.161641,0.4751216448762701
243,SSP2,0.6,2058,projections,4203765981.5007186,0.5003818242865397
244,SSP2,0.8,2058,projections,4525878354.199366,0.5240327218966874
245,SSP2,0.2,2059,projections,3629791444.7128296,0.43545251806061824
246,SSP2,0.4,2059,projections,3910855859.760216,0.47473484165634866
247,SSP2,0.6,2059,projections,4206979818.3431077,0.5002707414149312
248,SSP2,0.8,2059,projections,4533345026.029455,0.5239988990256605
249,SSP2,0.2,2060,projections,3619376761.0886374,0.43350676950247735
250,SSP2,0.4,2060,projections,3905563935.144539,0.4742724952825664
251,SSP2,0.6,2060,projections,4209877083.4577036,0.5000961070647075
252,SSP2,0.8,2060,projections,4538619812.6181555,0.5239248878555692
253,SSP2,0.2,2061,projections,3609640632.281936,0.4314865842863889
254,SSP2,0.4,2061,projections,3900476868.5266004,0.4737426696882436
255,SSP2,0.6,2061,projections,4212185279.968944,0.49986361169613625
256,SSP2,0.8,2061,projections,4541154908.460228,0.52380697193796
257,SSP2,0.2,2062,projections,3600377706.0596485,0.4294023017758239
258,SSP2,0.4,2062,projections,3895689343.598679,0.4731537043161028
259,SSP2,0.6,2062,projections,4214536848.1268435,0.49957995889643536
260,SSP2,0.8,2062,projections,4543513893.782699,0.5236489632954939
261,SSP2,0.2,2063,projections,3591366914.267336,0.42726072003626203
262,SSP2,0.4,2063,projections,3890682943.124708,0.47251167037074737
263,SSP2,0.6,2063,projections,4216904541.7815394,0.4992521496500929
264,SSP2,0.8,2063,projections,4545689691.998671,0.523456253801037
265,SSP2,0.2,2064,projections,3582742281.3331065,0.42506738039999703
266,SSP2,0.4,2064,projections,3886024348.0841203,0.47182273033385574
267,SSP2,0.6,2064,projections,4219279578.8187,0.49888641854286864
268,SSP2,0.8,2064,projections,4547647790.902434,0.5232337568397594
269,SSP2,0.2,2065,projections,3573590148.274849,0.42283045074054676
270,SSP2,0.4,2065,projections,3881697907.2845926,0.47109384032788665
271,SSP2,0.6,2065,projections,4221127428.5211315,0.49848822482395605
272,SSP2,0.8,2065,projections,4549453007.894999,0.5229860247620365
273,SSP2,0.2,2066,projections,3562625760.181591,0.42053291387888325
274,SSP2,0.4,2066,projections,3877686327.7975764,0.4703310743715343
275,SSP2,0.6,2066,projections,4221322570.565982,0.4980583385882601
276,SSP2,0.8,2066,projections,4551059243.36326,0.5227171239603636
277,SSP2,0.2,2067,projections,3552185863.1152296,0.41817575515093336
278,SSP2,0.4,2067,projections,3872737506.64587,0.46953732119105873
279,SSP2,0.6,2067,projections,4221522391.624492,0.4975989468884111
280,SSP2,0.8,2067,projections,4552423916.452508,0.5224297921558416
281,SSP2,0.2,2068,projections,3542204315.5436926,0.4157653699163642
282,SSP2,0.4,2068,projections,3866342902.031214,0.4687075013594904
283,SSP2,0.6,2068,projections,4221557681.186743,0.49711324508210925
284,SSP2,0.8,2068,projections,4553488907.227523,0.5221261073514583
285,SSP2,0.2,2069,projections,3532648104.357152,0.4133093828138192
286,SSP2,0.4,2069,projections,3859690380.0381317,0.4678405604524261
287,SSP2,0.6,2069,projections,4221233164.8290787,0.49660320041864053
288,SSP2,0.8,2069,projections,4554294765.264643,0.5218079718925341
289,SSP2,0.2,2070,projections,3522778841.9732137,0.41080872917421085
290,SSP2,0.4,2070,projections,3853176182.461754,0.46693949594687545
291,SSP2,0.6,2070,projections,4220832344.0204544,0.49607100852538805
292,SSP2,0.8,2070,projections,4554820794.863668,0.5214771147372338
293,SSP2,0.2,2071,projections,3511952200.9724846,0.40826141259639737
294,SSP2,0.4,2071,projections,3846784225.0774903,0.46600724019743295
295,SSP2,0.6,2071,projections,4220333807.081638,0.4955188087185398
296,SSP2,0.8,2071,projections,4555051025.911466,0.5211350515601693
297,SSP2,0.2,2072,projections,3501419369.773904,0.4056636448308048
298,SSP2,0.4,2072,projections,3840328329.859916,0.4650460715759693
299,SSP2,0.6,2072,projections,4219706499.5810895,0.49494842440104325
300,SSP2,0.8,2072,projections,4554986543.176701,0.5207830672832785
301,SSP2,0.2,2073,projections,3491527076.018282,0.4030230854719391
302,SSP2,0.4,2073,projections,3833950835.732667,0.4640578122167045
303,SSP2,0.6,2073,projections,4218540961.102995,0.49436116157075016
304,SSP2,0.8,2073,projections,4554632840.442831,0.5204222959786308
305,SSP2,0.2,2074,projections,3482272242.16175,0.40034724358387097
306,SSP2,0.4,2074,projections,3827160972.169237,0.46304419489439846
307,SSP2,0.6,2074,projections,4217120130.424034,0.4937575934236531
308,SSP2,0.8,2074,projections,4553995759.684409,0.5200537350432567
309,SSP2,0.2,2075,projections,3473652124.269033,0.3976431490360695
310,SSP2,0.4,2075,projections,3819205170.6454854,0.46200198602196957
311,SSP2,0.6,2075,projections,4215611541.3093076,0.49313911461664317
312,SSP2,0.8,2075,projections,4553081532.974912,0.5196782513594731
313,SSP2,0.2,2076,projections,3465561863.0235653,0.39491718309550067
314,SSP2,0.4,2076,projections,3811361553.14666,0.4609312609887075
315,SSP2,0.6,2076,projections,4214015185.696233,0.4925070109740437
316,SSP2,0.8,2076,projections,4551898000.054162,0.519296588930356
317,SSP2,0.2,2077,projections,3457878514.592664,0.3921731546283436
318,SSP2,0.4,2077,projections,3803629412.814741,0.45983377196862796
319,SSP2,0.6,2077,projections,4212202387.4782906,0.4918623027848649
320,SSP2,0.8,2077,projections,4550458560.493948,0.5189093799336975
321,SSP2,0.2,2078,projections,3450847066.462448,0.3894160091342836
322,SSP2,0.4,2078,projections,3796009908.8432283,0.4587110573442916
323,SSP2,0.6,2078,projections,4210292976.2444687,0.4912058221069403
324,SSP2,0.8,2078,projections,4548778050.3646145,0.518517160597341
325,SSP2,0.2,2079,projections,3444471121.679432,0.3866510817988491
326,SSP2,0.4,2079,projections,3788207156.9545674,0.4575641289299798
327,SSP2,0.6,2079,projections,4206251758.336379,0.49053699306844145
